Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability
75508;1000024513773424800;63726205826884;(0.025, -0.102, 0.167);(358.727, 1.156, 2.106);VALID;0.0470121465623379, -0.0409785881638527, 0.998053431510925;0, 0, 0;VALID;0.0333894751966, -0.0383313819766045, 0.998707115650177;-0.0294735506176949, 0, 0;0.20819503068924;VALID;0.0606257431209087, -0.0436178855597973, 0.99720710515976;0.0294735506176949, 0, 0;0.182515278458595;2;0.721128225326538
75509;1000024513783479700;63726205826898;(0.025, -0.102, 0.167);(358.750, 1.166, 2.107);VALID;0.0469903163611889, -0.0415849313139915, 0.998029351234436;0, 0, 0;VALID;0.0331851132214069, -0.0388621613383293, 0.998693406581879;-0.0294735506176949, 0, 0;0.208184793591499;VALID;0.0607861950993538, -0.0442994497716427, 0.99716728925705;0.0294735506176949, 0, 0;0.182590186595917;2;0.723143577575684
75510;1000024513793610600;63726205826898;(0.025, -0.102, 0.167);(358.750, 1.166, 2.107);VALID;0.0475638583302498, -0.0419140420854092, 0.997988402843475;0, 0, 0;VALID;0.0340606458485127, -0.03913389518857, 0.998653292655945;-0.0294735506176949, 0, 0;0.20819503068924;VALID;0.0610580071806908, -0.0446862056851387, 0.997133433818817;0.0294735506176949, 0, 0;0.182347789406776;2;0.727165937423706
75511;1000024513803545200;63726205826915;(0.025, -0.102, 0.167);(358.783, 1.189, 2.088);VALID;0.0476980805397034, -0.0423640869557858, 0.997963011264801;0, 0, 0;VALID;0.0342738032341003, -0.0394777879118919, 0.998632490634918;-0.0294735506176949, 0, 0;0.208749175071716;VALID;0.0611133389174938, -0.0452423803508282, 0.997104942798615;0.0294735506176949, 0, 0;0.181954398751259;2;0.73945164680481
75512;1000024513813622700;63726205826932;(0.025, -0.102, 0.167);(358.804, 1.205, 2.089);VALID;0.0478551313281059, -0.0430698953568935, 0.997925281524658;0, 0, 0;VALID;0.0344346798956394, -0.040644571185112, 0.998580098152161;-0.0294735506176949, 0, 0;0.208749175071716;VALID;0.0612666606903076, -0.0454871878027916, 0.997084379196167;0.0294735506176949, 0, 0;0.182823717594147;2;0.749090552330017
75513;1000024513823585800;63726205826932;(0.025, -0.102, 0.167);(358.804, 1.205, 2.089);VALID;0.0478120446205139, -0.0436108820140362, 0.997903823852539;0, 0, 0;VALID;0.0343585945665836, -0.0414546132087708, 0.998549461364746;-0.0294735506176949, 0, 0;0.207956805825233;VALID;0.0612565986812115, -0.0457590408623219, 0.997072577476501;0.0294735506176949, 0, 0;0.182316482067108;2;0.766656696796417
75514;1000024513833600000;63726205826949;(0.025, -0.102, 0.167);(358.831, 1.203, 2.084);VALID;0.0479302443563938, -0.0439693480730057, 0.997882425785065;0, 0, 0;VALID;0.0343692190945148, -0.0420604385435581, 0.998523771762848;-0.0294735506176949, 0, 0;0.20863601565361;VALID;0.0614822618663311, -0.0458699949085712, 0.997053623199463;0.0294735506176949, 0, 0;0.182687178254128;2;0.79506129026413
75515;1000024513843584900;63726205826949;(0.025, -0.102, 0.167);(358.831, 1.203, 2.084);VALID;0.0477136969566345, -0.0438962839543819, 0.997896075248718;0, 0, 0;VALID;0.033989530056715, -0.0416533835232258, 0.998553812503815;-0.0294735506176949, 0, 0;0.207712799310684;VALID;0.0614286176860332, -0.0461306795477867, 0.997044861316681;0.0294735506176949, 0, 0;0.182453498244286;2;0.8454310297966
75516;1000024513853693400;63726205826965;(0.025, -0.102, 0.168);(358.851, 1.222, 2.068);VALID;0.0477119833230972, -0.0437392331659794, 0.997903048992157;0, 0, 0;VALID;0.0340665057301521, -0.0415201634168625, 0.998556733131409;-0.0294735506176949, 0, 0;0.20647095143795;VALID;0.0613483227789402, -0.045949924737215, 0.997058153152466;0.0294735506176949, 0, 0;0.182685405015945;2;0.893517553806305
75517;1000024513863765300;63726205826982;(0.025, -0.102, 0.168);(358.875, 1.241, 2.047);VALID;0.0476495027542114, -0.043704129755497, 0.997907519340515;0, 0, 0;VALID;0.0339326597750187, -0.041330236941576, 0.998569190502167;-0.0294735506176949, 0, 0;0.209617838263512;VALID;0.0613570883870125, -0.0460695326328278, 0.997052133083344;0.0294735506176949, 0, 0;0.182635679841042;2;0.946464538574219
75518;1000024513873694000;63726205826982;(0.025, -0.102, 0.168);(358.875, 1.241, 2.047);VALID;0.0474671274423599, -0.0446746423840523, 0.997873246669769;0, 0, 0;VALID;0.0336933173239231, -0.0421331822872162, 0.998543739318848;-0.0294735506176949, 0, 0;0.209617838263512;VALID;0.0612316019833088, -0.0472073182463646, 0.997006595134735;0.0294735506176949, 0, 0;0.182635679841042;2;0.970300197601318
75519;1000024513883740700;63726205826998;(0.025, -0.102, 0.168);(358.879, 1.243, 2.042);VALID;0.0474490784108639, -0.0446997284889221, 0.99787300825119;0, 0, 0;VALID;0.0336853191256523, -0.0422939620912075, 0.998537182807922;-0.0294735506176949, 0, 0;0.207727804780006;VALID;0.0612035542726517, -0.0470967479050159, 0.997013568878174;0.0294735506176949, 0, 0;0.182191610336304;2;1
